round_idx,kind,cycles
1039,valid,60441
1040,valid,60769
1041,valid,59861
1042,valid,60758
1043,valid,59763
1044,valid,59900
1045,invalid,60135
1046,invalid,59732
1047,valid,59836
1048,invalid,59792
1049,invalid,59758
1050,invalid,59741
1051,invalid,60361
1052,valid,59876
1053,invalid,60241
1054,valid,59787
1055,valid,60512
1056,valid,59766
1057,valid,59782
1058,valid,59670
1059,invalid,60175
1060,valid,60305
1061,invalid,60281
1062,invalid,59822
1063,invalid,59798
1064,invalid,59782
1065,invalid,60188
1066,valid,59947
1067,valid,59853
1068,invalid,60759
1069,valid,60140
1070,valid,59862
1071,invalid,59765
1072,valid,59843
1073,valid,63170
1074,valid,59796
1075,invalid,60585
1076,invalid,59804
1077,invalid,59808
1078,valid,59780
1079,valid,59802
1080,valid,60716
1081,invalid,59794
1082,invalid,59834
1083,valid,59830
1084,valid,60218
1085,valid,59712
1086,invalid,59763
1087,valid,60933
1088,valid,60249
1089,valid,60476
1090,valid,61262
1091,valid,59831
1092,invalid,59907
1093,invalid,59847
1094,invalid,59720
1095,valid,59855
1096,invalid,59798
1097,invalid,59832
1098,valid,59784
1099,invalid,59805
1100,valid,60977
1101,valid,59805
1102,valid,59805
1103,invalid,59519
1104,valid,59757
1105,valid,59826
1106,valid,59806
1107,valid,59785
1108,valid,59721
1109,invalid,59832
1110,valid,59864
1111,valid,59826
1112,invalid,60895
1113,invalid,59919
1114,valid,61402
1115,invalid,59787
1116,invalid,59803
1117,valid,59803
1118,valid,59749
1119,invalid,59786
1120,valid,59761
1121,invalid,60767
1122,invalid,59753
1123,valid,60086
1124,valid,59842
1125,valid,60011
1126,invalid,60155
1127,invalid,59757
1128,invalid,59785
1129,valid,59787
1130,valid,59821
1131,valid,59841
1132,invalid,59818
1133,invalid,59886
1134,invalid,59808
1135,invalid,59768
1136,valid,60195
1137,valid,59815
1138,valid,59770
1139,invalid,59807
1140,valid,59829
1141,invalid,60745
1142,valid,60206
1143,valid,59758
1144,invalid,59766
1145,valid,59813
1146,invalid,59853
1147,valid,59784
1148,invalid,59846
1149,valid,59810
1150,invalid,60729
1151,invalid,59782
1152,valid,59839
1153,valid,59809
1154,invalid,59748
1155,invalid,59891
1156,valid,60496
1157,valid,59786
1158,invalid,59804
1159,valid,59796
1160,valid,59847
1161,invalid,59872
1162,valid,59754
1163,valid,59800
1164,invalid,60611
1165,invalid,59540
1166,valid,60133
1167,invalid,59685
1168,invalid,59644
1169,invalid,60438
1170,invalid,59912
1171,valid,59852
1172,invalid,59762
1173,valid,59765
1174,valid,60119
1175,valid,59768
1176,valid,59812
1177,valid,59830
1178,valid,59760
1179,valid,60351
1180,valid,59885
1181,invalid,59826
1182,invalid,59812
1183,invalid,60162
1184,valid,59863
1185,invalid,59555
1186,invalid,60251
1187,valid,60170
1188,invalid,59519
1189,valid,59855
1190,invalid,59784
1191,valid,59796
1192,invalid,60290
1193,valid,59778
1194,valid,59846
1195,invalid,59804
1196,invalid,59842
1197,invalid,64073
1198,valid,59771
1199,valid,59724
1200,invalid,59556
1201,invalid,59792
1202,valid,59689
1203,invalid,60460
1204,valid,59742
1205,valid,59780
1206,invalid,59774
1207,valid,59785
1208,invalid,59770
1209,invalid,59805
1210,valid,59724
1211,invalid,59797
1212,invalid,59771
1213,valid,59809
1214,valid,59875
1215,invalid,59717
1216,invalid,59798
1217,invalid,59761
1218,invalid,59803
1219,invalid,59719
1220,invalid,60391
1221,invalid,59767
1222,valid,59850
1223,valid,60360
1224,valid,59782
1225,valid,59800
1226,valid,59836
1227,valid,59770
1228,invalid,63125
1229,invalid,60205
1230,invalid,59820
1231,invalid,59854
1232,invalid,59753
1233,invalid,59786
1234,valid,59789
1235,valid,59792
1236,invalid,60392
1237,valid,59735
1238,valid,59758
1239,valid,59825
1240,invalid,59825
1241,valid,59828
1242,valid,59775
1243,invalid,59771
1244,valid,59802
1245,valid,59883
1246,valid,60488
1247,valid,59887
1248,invalid,59764
1249,invalid,59474
1250,valid,60670
1251,invalid,59771
1252,invalid,59790
1253,valid,59806
1254,valid,59806
1255,valid,59912
1256,invalid,59833
1257,valid,59790
1258,valid,59855
1259,valid,60334
1260,valid,59568
1261,valid,59761
1262,valid,59763
1263,invalid,59713
1264,valid,59773
1265,valid,59794
1266,valid,60354
1267,valid,59853
1268,invalid,59795
1269,valid,60316
1270,valid,59939
1271,valid,59729
1272,invalid,59842
1273,invalid,59833
1274,valid,59794
1275,invalid,59760
1276,valid,59766
1277,valid,61534
1278,invalid,60185
1279,valid,59760
1280,valid,59752
1281,invalid,59655
1282,invalid,60168
1283,valid,59791
1284,valid,60123
1285,invalid,60725
1286,invalid,60115
1287,valid,59764
1288,valid,59879
1289,invalid,59769
1290,valid,59770
1291,valid,59759
1292,valid,60866
1293,valid,59769
1294,invalid,59777
1295,invalid,59869
1296,invalid,59787
1297,invalid,59795
1298,invalid,59792
1299,invalid,59791
1300,valid,59805
1301,valid,59806
1302,invalid,60466
1303,valid,59803
1304,invalid,60489
1305,invalid,60500
1306,valid,59785
1307,valid,59756
1308,invalid,59776
1309,valid,59761
1310,valid,59859
1311,valid,59751
1312,invalid,59790
1313,valid,59758
1314,valid,59740
1315,invalid,59493
1316,valid,59812
1317,valid,59842
1318,invalid,60165
1319,valid,59808
1320,valid,60405
1321,invalid,60287
1322,valid,59775
1323,valid,60172
1324,invalid,60296
1325,valid,60016
1326,invalid,59745
1327,valid,59773
1328,valid,60033
1329,valid,59779
1330,valid,59813
1331,invalid,59732
1332,valid,59764
1333,invalid,59699
1334,invalid,59793
1335,valid,60526
1336,valid,59777
1337,invalid,59758
1338,valid,60353
1339,valid,59768
1340,invalid,61277
1341,invalid,59855
1342,invalid,61881
1343,valid,59859
1344,valid,61732
1345,invalid,60527
1346,invalid,59807
1347,valid,59828
1348,invalid,59775
1349,valid,60136
1350,invalid,59799
1351,invalid,59845
1352,invalid,60470
1353,valid,59787
1354,invalid,59810
1355,invalid,59748
1356,valid,59798
1357,valid,59786
1358,valid,59821
1359,invalid,59903
1360,invalid,59774
1361,invalid,59753
1362,invalid,60142
1363,invalid,59666
1364,valid,59755
1365,invalid,59794
1366,invalid,59794
1367,valid,59821
1368,invalid,59666
1369,valid,59792
1370,valid,59946
1371,invalid,59703
1372,invalid,59822
1373,invalid,59785
1374,invalid,62534
1375,valid,59747
1376,invalid,59782
1377,valid,59768
1378,valid,59762
1379,invalid,59816
1380,valid,59776
1381,invalid,59810
1382,valid,59770
1383,invalid,59764
1384,valid,59721
1385,invalid,59814
1386,invalid,59745
1387,valid,59789
1388,invalid,59781
1389,valid,59781
1390,valid,59786
1391,valid,59758
1392,invalid,59798
1393,invalid,59795
1394,invalid,60574
1395,valid,59764
1396,valid,59852
1397,valid,59801
1398,invalid,59741
1399,invalid,59518
1400,valid,59736
1401,valid,59820
1402,valid,60515
1403,invalid,59503
1404,valid,59778
1405,valid,59798
1406,invalid,59790
1407,invalid,59530
1408,valid,59791
1409,valid,60470
1410,valid,59887
1411,invalid,60690
1412,invalid,60685
1413,valid,59806
1414,invalid,59786
1415,invalid,59582
1416,invalid,59741
1417,invalid,59584
1418,invalid,59779
1419,invalid,59830
1420,valid,59784
1421,invalid,59796
1422,valid,60410
1423,invalid,59769
1424,valid,59766
1425,valid,60733
1426,valid,59469
1427,valid,59741
1428,valid,59746
1429,valid,59816
1430,valid,59755
1431,valid,59820
1432,valid,59781
