idx,kind,cycles
931,invalid,64278
932,valid,64216
933,invalid,64275
934,valid,64219
935,invalid,64270
936,valid,64227
937,invalid,64259
938,valid,64278
939,invalid,65120
940,valid,64266
941,invalid,65761
942,valid,64253
943,invalid,65298
944,valid,64234
945,invalid,64285
946,valid,64240
947,invalid,64249
948,valid,64212
949,invalid,64223
950,valid,64204
951,invalid,64260
952,valid,64157
953,invalid,64362
954,valid,64264
955,invalid,64247
956,valid,64249
957,invalid,64313
958,valid,64228
959,invalid,64246
960,valid,64242
961,invalid,64226
962,valid,64241
963,invalid,64248
964,valid,65092
965,invalid,64179
966,valid,64530
967,invalid,64138
968,valid,64253
969,invalid,64212
970,valid,64840
971,invalid,64198
972,valid,64238
973,invalid,64220
974,valid,64180
975,invalid,64254
976,valid,64196
977,invalid,64291
978,valid,64200
979,invalid,64272
980,valid,64259
981,invalid,64314
982,valid,64251
983,invalid,64228
984,valid,64247
985,invalid,64267
986,valid,64282
987,invalid,64182
988,valid,64271
989,invalid,64217
990,valid,64216
991,invalid,64185
992,valid,64232
993,invalid,64189
994,valid,64260
995,invalid,64215
996,valid,64231
997,invalid,64314
998,valid,64241
999,invalid,64167
1000,valid,65036
1001,invalid,64130
1002,valid,65543
1003,invalid,64155
1004,valid,64148
1005,invalid,64232
1006,valid,64183
1007,invalid,64317
1008,valid,64212
1009,invalid,64272
1010,valid,64205
1011,invalid,64193
1012,valid,64218
1013,invalid,64240
1014,valid,64202
1015,invalid,64259
1016,valid,64218
1017,invalid,64187
1018,valid,64183
1019,invalid,64201
1020,valid,64242
1021,invalid,64220
1022,valid,64243
1023,invalid,64289
1024,valid,64312
1025,invalid,64268
1026,valid,64230
1027,invalid,64251
1028,valid,64240
1029,invalid,64250
1030,valid,64230
1031,invalid,64205
1032,valid,64260
1033,invalid,64202
1034,valid,64264
1035,invalid,64220
1036,valid,64275
1037,invalid,64247
1038,valid,64223
1039,invalid,64505
1040,valid,65186
1041,invalid,64269
1042,valid,64189
1043,invalid,64226
1044,valid,64218
1045,invalid,64184
1046,valid,64233
1047,invalid,64225
1048,valid,64195
1049,invalid,64207
1050,valid,64759
1051,invalid,64267
1052,valid,64195
1053,invalid,64253
1054,valid,64213
1055,invalid,64254
1056,valid,64190
1057,invalid,64476
1058,valid,65024
1059,invalid,64261
1060,valid,64450
1061,invalid,64203
1062,valid,64234
1063,invalid,64233
1064,valid,64235
1065,invalid,64229
1066,valid,64290
1067,invalid,64525
1068,valid,64211
1069,invalid,66306
1070,valid,64266
1071,invalid,64267
1072,valid,64240
1073,invalid,64232
1074,valid,65446
1075,invalid,64219
1076,valid,64242
1077,invalid,64457
1078,valid,64263
1079,invalid,64258
1080,valid,64203
1081,invalid,64242
1082,valid,64325
1083,invalid,64209
1084,valid,64217
1085,invalid,64240
1086,valid,64724
1087,invalid,64233
1088,valid,64266
1089,invalid,64183
1090,valid,64685
1091,invalid,64206
1092,valid,64500
1093,invalid,64512
1094,valid,64212
1095,invalid,64211
1096,valid,64233
1097,invalid,64227
1098,valid,64380
1099,invalid,64222
1100,valid,64240
1101,invalid,64496
1102,valid,64226
1103,invalid,64195
1104,valid,64193
1105,invalid,64258
1106,valid,64222
1107,invalid,64173
